# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'ban'liu'wan 半硫丸
'ban'mao 斑蝥
'ban'mao 斑蟊
'ban'nian'hong 半年红
'ban'shen'bu'sui 半身不遂
'ban'shen'bu'sui 半身不随
'ban'shen'bu'sui'sha 半身不遂痧
'ban'shen'han 半身汗
'ban'shen'ma'mu 半身麻木
'ban'shen'wu'han 半身无汗
'ban'sheng 半生
'ban'tian'diao 半天吊
'ban'tian'lei 半天雷
'ban'xia 半夏
'ban'xia'bai'zhu'tian'ma'tang 半夏白术天麻汤
'ban'xia'fu'ling'tang 半夏茯苓汤
'ban'xia'fu'shen'san 半夏茯神散
'ban'xia'gan'jiang'san 半夏干姜散
'ban'xia'gui'zhi'gan'cao'tang 半夏桂枝甘草汤
'ban'xia'gui'zhi'tang 半夏桂枝汤
'ban'xia'hou'po'tang 半夏厚朴汤
'ban'xia'huo'xiang'tang 半夏藿香汤
'ban'xia'ma'huang'wan 半夏麻黄丸
'ban'xia'qu 半夏曲
'ban'xia'san 半夏散
'ban'xia'shu'mi'tang 半夏秫米汤
'ban'xia'tang 半夏汤
'ban'xia'wan 半夏丸
'ban'xia'wen'fei'tang 半夏温肺汤
'ban'xia'xie'xin'tang 半夏泻心汤
'ban'xia'zhong'du 半夏中毒
'ban'xia'zuo'jing'tang 半夏左经汤
'ban'yin'yang 半阴阳
'ban'yue'zhang 半月障
'ban'zhe 斑蛰
'ban'zhen 斑疹
'ban'zhi'feng 半肢风
'ban'zhi'lian 半枝莲
'bang'fen 蚌粉
'bang'he 蚌合
'bang'hua 蚌花
'bang'lei 蚌泪
'bang'qing'shui 蚌清水
'bang'shuang'san 蚌霜散
'bao'bing 暴病
'bao'chan'wu'you'san 保产无忧散
'bao'cheng 包诚
'bao'chuan'bing 暴喘病
'bao'da'ri'ma 包达日玛
'bao'feng'ke're'bing 暴风客热病
'bao'gong 胞宫
'bao'gong'han'ning'zheng 胞宫寒凝证
'bao'gong'teng 包公藤
'bao'gong'xu'han'zheng 胞宫虚寒证
'bao'gu 豹骨
'bao'gu'xin 包谷心
'bao'he'wan 保和丸
'bao'hui 包会
'bao'jian 包煎
'bao'jian'wai'fan'bing 胞睑外翻病
'bao'jue 暴厥
'bao'kuai'xing 包块型
'bao'long 暴聋
'bao'long'bing 暴聋病
'bao'lun'zhen'tiao'bing 胞轮振跳病
'bao'luo 包络
'bao'ma'sha 包玛沙
'bao'ma'zi 暴马子
'bao'mang 暴盲
'bao'mang'bing 暴盲病
'bao'men 胞门
'bao'pu 暴仆
'bao're 暴热
'bao'rou'zhan'lun'bing 胞肉粘轮病
'bao'san'hui 包三鏸
'bao'sheng'tan'he'bing 胞生痰核病
'bao'shi'sheng 包识生
'bao'shou'jing'kong'zheng 暴受惊恐证
'bao'tu'bing 暴吐病
'bao'tuo 暴脱
'bao'wen'ci 豹文刺
'bao'xie 暴泻
'bao'xie'bing 暴泻病
'bao'xing'yan 包兴言
'bao'xu'ru'qiu'bing 胞虚如球病
'bao'yan 包岩
'bao'yi 胞衣
'bao'yi'bu'xia 胞衣不下
'bao'yi'bu'xia'bing 胞衣不下病
'bao'yi'xu 包一虚
'bao'yin 暴瘖
'bao'yin'jian 保阴煎
'bao'yuan'tang 保元汤
'bao'za'gu'ding'liao'fa 包扎固定疗法
'bao'zang 胞脏
'bao'zhang'shi 豹掌势
'bao'zhen'zhu 包珍珠
'bao'zhong'ru'tao'bing 胞肿如桃病
'bao'zhu 暴注
'bao'zi'yao 豹子药
'bao'zu 胞阻
'bei'bai'jiang 北败酱
'bei'chai'hu 北柴胡
'bei'chi 贝齿
'bei'dong'dong'zuo 被动动作
'bei'dong'yun'dong 被动运动
'bei'dou'gen 北豆根
'bei'fang'chang'yong'zhong'cao'yao'shou'ce 北方常用中草药手册
'bei'fang'xue'pai 北方学派
'bei'he'shi 北鹤虱
'bei'ji 北极
'bei'ji'sheng 北寄生
'bei'jing'xuan'yan 北京宣言
'bei'liu'ji'nu 北刘寄奴
'bei'mo'er 被膜儿
'bei'mu 贝母
'bei'mu'gua'lou'san 贝母瓜蒌散
'bei'mu'hua 贝母花
'bei'qi 被鬾
'bei'qiang 背强
'bei'sha'shen 北沙参
'bei'shan'huang'gong 北山黄公
'bei'ting'sha 北庭砂
'bei'wu'jia'pi 北五加皮
'bei'wu'wei'zi 北五味子
'bei'xi'xin 北细辛
'bei'xian'pi 北鲜皮
'bei'xuan'shen 北玄参
'bei'ye'ju 北野菊
'bei'yuan'hua 北芫花
'bei'zheng'zhi'sui 北政之岁
'bei'zhu'wan 倍术丸
'bei'zi 贝子
'bei'zi'san 倍子散
'ben'bing'lun'pian 本病论篇
'ben'cang 本藏
'ben'cao 本草
'ben'cao'bei'yao 本草备要
'ben'cao'bi'bei 本草必备
'ben'cao'bian'du 本草便读
'ben'cao'cheng'ya 本草乘雅
'ben'cao'cheng'ya'ban'ji 本草乘雅半偈
'ben'cao'chong'yuan 本草崇原
'ben'cao'chong'yuan'ji'shuo 本草崇原集说
'ben'cao'cong'xin 本草从新
'ben'cao'fa'hui 本草发挥
'ben'cao'fa'ming 本草发明
'ben'cao'fa'ming'qie'yao 本草发明切要
'ben'cao'fen'jing 本草分经
'ben'cao'gang'mu 本草纲目
'ben'cao'gang'mu'bi'du 本草纲目必读
'ben'cao'gang'mu'bo'yi 本草纲目博议
'ben'cao'gang'mu'shi'yi 本草纲目拾遗
'ben'cao'gang'mu'wan'fang'lei'bian 本草纲目万方类编
'ben'cao'gang'mu'yi'zhi'lu 本草纲目易知录
'ben'cao'gang'mu'zhai'yao 本草纲目摘要
'ben'cao'hai'li 本草害利
'ben'cao'hui 本草汇
'ben'cao'hui'bian 本草会编
'ben'cao'hui'jian 本草汇笺
'ben'cao'hui'yan 本草汇言
